department,page_url,number
교육학과,https://ed.pusan.ac.kr/ed/15398/subview.do,5276
교육학과(자유),https://ed.pusan.ac.kr/ed/15401/subview.do,481
유아교육과(학부),https://child.pusan.ac.kr/child/15985/subview.do,738
유아교육과(대학원),https://child.pusan.ac.kr/child/15986/subview.do,1029
유아교육과(취업),https://child.pusan.ac.kr/child/15987/subview.do,813
특수교육과,https://special.pusan.ac.kr/special/17389/subview.do,573
특수교육과(취업),https://special.pusan.ac.kr/special/17392/subview.do,45
일반사회교육과,https://socialedu.pusan.ac.kr/socialedu/72916/subview.do,91
일반사회교육과(취업),https://socialedu.pusan.ac.kr/socialedu/70697/subview.do,59
역사교육과,https://hisedu.pusan.ac.kr/hisedu/16873/subview.do,2423
역사교육과(취업),https://hisedu.pusan.ac.kr/hisedu/16875/subview.do,15
지리교육과,https://geoedu.pusan.ac.kr/geoedu/21599/subview.do,1554
윤리교육과,https://ethics.pusan.ac.kr/ethics/21795/subview.do,3501
윤리교육과(취업),https://ethics.pusan.ac.kr/ethics/51289/subview.do,162
수학교육과,https://mathedu.pusan.ac.kr/mathedu/15093/subview.do,3446
수학교육과(자유),https://mathedu.pusan.ac.kr/mathedu/15097/subview.do,2335
수학교육과(취업),https://mathedu.pusan.ac.kr/mathedu/15098/subview.do,3695
물리교육과(취업),https://physedu.pusan.ac.kr/physedu/16992/subview.do,2911
물리교육과(취업),https://physedu.pusan.ac.kr/physedu/21673/subview.do,277
화학교육과,https://chemedu.pusan.ac.kr/chemedu/20618/subview.do,1389
생물교육과(학부),https://edubio.pusan.ac.kr/edubio/21256/subview.do,1641
생물교육과(취업),https://edubio.pusan.ac.kr/edubio/21266/subview.do,44
지구과학교육과,https://earth.pusan.ac.kr/earth/23354/subview.do,410
지구과학교육과(취업),https://earth.pusan.ac.kr/earth/23355/subview.do,304
체육교육과(학부),https://physicaledu.pusan.ac.kr/physicaledu/21846/subview.do,330
여성연구소,https://women.pusan.ac.kr/women/37794/subview.do,142
국제교육개발협력전공,https://edc.pusan.ac.kr/edc/43177/subview.do,200
기후시스템전공,https://climatesystem.pusan.ac.kr/climate/40483/subview.do,60
교육과미디어융합전공,https://edumedia.pusan.ac.kr/edumedia/70864/subview.do,59
기계기술연구원,https://rimt.pusan.ac.kr/rimt/39690/subview.do,30
에너지융합발전연소전공/그린설비융합전공/원자력공학전공/발전공학과,http://meindustry.org/page/board/board.php?TREE_NO=88&DEPTH=2,10
