page_url,number
https://comm.pusan.ac.kr/comm/16751/subview.do,171
https://natural.pusan.ac.kr/natural/12901/subview.do,84
https://math.pusan.ac.kr/math/66565/subview.do,3085
https://math.pusan.ac.kr/math/66572/subview.do,275
https://math.pusan.ac.kr/math/66568/subview.do,1034
https://stat.pusan.ac.kr/stat/15128/subview.do,2022
https://stat.pusan.ac.kr/stat/15129/subview.do,1156
https://phys.pusan.ac.kr/phys/14948/subview.do,2847
https://phys.pusan.ac.kr/phys/14949/subview.do,845
https://phys.pusan.ac.kr/phys/14950/subview.do,346
https://chem.pusan.ac.kr/chem/15255/subview.do,3273
https://chem.pusan.ac.kr/chem/15257/subview.do,1909
https://biology.pusan.ac.kr/biology/16045/subview.do,2316
https://biology.pusan.ac.kr/biology/16049/subview.do,528
https://biology.pusan.ac.kr/biology/16058/subview.do,683
https://microbio.pusan.ac.kr/microbio/15867/subview.do,2929
https://microbio.pusan.ac.kr/microbio/15868/subview.do,495
https://microbio.pusan.ac.kr/microbio/15869/subview.do,165
https://geology.pusan.ac.kr/geology/15533/subview.do,1767
https://geology.pusan.ac.kr/geology/15535/subview.do,946
https://geology.pusan.ac.kr/geology/15551/subview.do,237
https://atmos.pusan.ac.kr/atmos/15905/subview.do,1276
https://atmos.pusan.ac.kr/atmos/15906/subview.do,275
https://ocean.pusan.ac.kr/ocean/15778/subview.do,1760
https://ocean.pusan.ac.kr/ocean/15783/subview.do,210
https://ocean.pusan.ac.kr/ocean/15779/subview.do,371
https://edu.pusan.ac.kr/edu/20835/subview.do,439
https://koredu.pusan.ac.kr/koredu/26185/subview.do,792
https://koredu.pusan.ac.kr/koredu/26186/subview.do,540
https://englishedu.pusan.ac.kr/englishedupnu/38204/subview.do,774
https://englishedu.pusan.ac.kr/englishedupnu/38217/subview.do,289
https://geredu.pusan.ac.kr/geredu/21925/subview.do,717
https://fredu.pusan.ac.kr/fredu/21987/subview.do,508
https://ed.pusan.ac.kr/ed/15398/subview.do,5108
https://ed.pusan.ac.kr/ed/15401/subview.do,481
https://child.pusan.ac.kr/child/15985/subview.do,710
https://child.pusan.ac.kr/child/15986/subview.do,1005
https://child.pusan.ac.kr/child/15987/subview.do,801
https://special.pusan.ac.kr/special/17389/subview.do,552
https://special.pusan.ac.kr/special/17392/subview.do,41
https://socialedu.pusan.ac.kr/socialedu/72916/subview.do,77
https://socialedu.pusan.ac.kr/socialedu/70697/subview.do,46
https://hisedu.pusan.ac.kr/hisedu/16873/subview.do,2281
https://hisedu.pusan.ac.kr/hisedu/16875/subview.do,5
https://geoedu.pusan.ac.kr/geoedu/21599/subview.do,1528
https://ethics.pusan.ac.kr/ethics/21795/subview.do,3416
https://ethics.pusan.ac.kr/ethics/51289/subview.do,147
